0 1 2 3 4 5 6 7 8 9 10 11
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 3 4 5 6 7 8 9 10 11 13
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 3 4 5 6 7 8 9 10 11 14
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 3 4 5 6 7 8 9 10 11 13 14
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 4 5 6 7 8 9 10 11 15
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 4 5 6 7 8 9 10 11 13 15
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 4 5 6 7 8 9 10 11 14 15
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 4 5 6 7 8 9 10 11 13 14 15
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 3 5 6 7 8 9 10 11 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 3 5 6 7 8 9 10 11 13 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 3 5 6 7 8 9 10 11 14 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 3 5 6 7 8 9 10 11 13 14 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 5 6 7 8 9 10 11 15 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 5 6 7 8 9 10 11 13 15 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 5 6 7 8 9 10 11 14 15 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 5 6 7 8 9 10 11 13 14 15 16
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 3 4 6 7 8 9 10 11 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 3 4 6 7 8 9 10 11 13 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 3 4 6 7 8 9 10 11 14 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 3 4 6 7 8 9 10 11 13 14 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 4 6 7 8 9 10 11 15 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 4 6 7 8 9 10 11 13 15 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 4 6 7 8 9 10 11 14 15 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 4 6 7 8 9 10 11 13 14 15 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 3 6 7 8 9 10 11 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 3 6 7 8 9 10 11 13 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 3 6 7 8 9 10 11 14 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 3 6 7 8 9 10 11 13 14 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 6 7 8 9 10 11 15 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 6 7 8 9 10 11 13 15 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 6 7 8 9 10 11 14 15 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 6 7 8 9 10 11 13 14 15 16 17
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 3 4 5 12 13 14 15 16 17
0 1 4 5 8 9 12 13 16 17 20 21
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 3 4 5 12 13 14 15 16 17
0 3 4 7 8 11 12 15 16 19 20 23
0 0 0 0 0 0 0 0 0 0 0 0
0 1 2 3 4 5 7 8 9 10 11 18
0 2 4 6 8 10 12 14 16 18 20 22
0 0 0 0 0 0 0 0 0 0 0 0
0 2 3 4 5 7 8 9 10 11 13 18
