0  1  2  3  4  5
0  2  4  6  8  10
0  0  0  0  0  0
0  1  2  3  4  11
0  2  4  6  8  10
0  0  0  0  0  0
0  1  2  3  5  10
0  2  4  6  8  10
0  0  0  0  0  0
0  1  2  3  10  11
0  2  4  6  8  10
0  0  0  0  0  0
0  1  2  4  5  9
0  2  4  6  8  10
0  0  0  0  0  0
0  1  2  4  9  11
0  2  4  6  8  10
0  0  0  0  0  0
0  1  2  5  9  10
0  2  4  6  8  10
0  0  0  0  0  0
0  1  2  6  7  8
0  1  4  5  8  9
0  0  0  0  0  0
0  1  2  6  7  8
0  3  4  7  8  11
0  0  0  0  0  0
0  1  2  9  10  11
0  2  4  6  8  10
0  0  0  0  0  0
0  1  3  4  5  8
0  2  4  6  8  10
0  0  0  0  0  0
0  1  3  4  8  11
0  2  4  6  8  10
0  0  0  0  0  0
0  1  3  5  8  10
0  2  4  6  8  10
0  0  0  0  0  0
0  1  3  8  10  11
0  2  4  6  8  10
0  0  0  0  0  0
0  1  4  5  8  9
0  1  2  6  7  8
0  0  0  0  0  0
0  1  4  5  8  9
0  1  5  6  7  11
0  0  0  0  0  0
0  1  4  5  8  9
0  2  4  6  8  10
0  0  0  0  0  0
0  1  4  5  8  9
0  4  5  6  10  11
0  0  0  0  0  0
0  1  4  8  9  11
0  2  4  6  8  10
0  0  0  0  0  0
0  1  5  6  7  11
0  1  4  5  8  9
0  0  0  0  0  0
0  1  5  6  7  11
0  3  4  7  8  11
0  0  0  0  0  0
0  1  5  8  9  10
0  2  4  6  8  10
0  0  0  0  0  0
0  1  8  9  10  11
0  2  4  6  8  10
0  0  0  0  0  0
0  2  3  4  5  7
0  2  4  6  8  10
0  0  0  0  0  0
0  2  3  4  7  11
0  2  4  6  8  10
0  0  0  0  0  0
0  2  3  5  7  10
0  2  4  6  8  10
0  0  0  0  0  0
0  2  3  7  10  11
0  2  4  6  8  10
0  0  0  0  0  0
0  2  4  5  7  9
0  2  4  6  8  10
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  3  4  5
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  3  4  11
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  3  5  10
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  3  10  11
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  4  5  9
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  4  9  11
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  5  9  10
0  0  0  0  0  0
0  2  4  6  8  10
0  1  2  9  10  11
0  0  0  0  0  0
0  2  4  6  8  10
0  1  3  4  5  8
0  0  0  0  0  0
0  2  4  6  8  10
0  1  3  4  8  11
0  0  0  0  0  0
0  2  4  6  8  10
0  1  3  5  8  10
0  0  0  0  0  0
0  2  4  6  8  10
0  1  3  8  10  11
0  0  0  0  0  0
0  2  4  6  8  10
0  1  4  5  8  9
0  0  0  0  0  0
0  2  4  6  8  10
0  1  4  8  9  11
0  0  0  0  0  0
0  2  4  6  8  10
0  1  5  8  9  10
0  0  0  0  0  0
0  2  4  6  8  10
0  1  8  9  10  11
0  0  0  0  0  0
0  2  4  6  8  10
0  2  3  4  5  7
0  0  0  0  0  0
0  2  4  6  8  10
0  2  3  4  7  11
0  0  0  0  0  0
0  2  4  6  8  10
0  2  3  5  7  10
0  0  0  0  0  0
0  2  4  6  8  10
0  2  3  7  10  11
0  0  0  0  0  0
0  2  4  6  8  10
0  2  4  5  7  9
0  0  0  0  0  0
0  2  4  6  8  10
0  2  4  7  9  11
0  0  0  0  0  0
0  2  4  6  8  10
0  2  5  7  9  10
0  0  0  0  0  0
0  2  4  6  8  10
0  2  7  9  10  11
0  0  0  0  0  0
0  2  4  6  8  10
0  3  4  5  7  8
0  0  0  0  0  0
0  2  4  6  8  10
0  3  4  7  8  11
0  0  0  0  0  0
0  2  4  6  8  10
0  3  5  7  8  10
0  0  0  0  0  0
0  2  4  6  8  10
0  3  7  8  10  11
0  0  0  0  0  0
0  2  4  6  8  10
0  4  5  7  8  9
0  0  0  0  0  0
0  2  4  6  8  10
0  4  7  8  9  11
0  0  0  0  0  0
0  2  4  6  8  10
0  5  7  8  9  10
0  0  0  0  0  0
0  2  4  6  8  10
0  7  8  9  10  11
0  0  0  0  0  0
0  2  4  7  9  11
0  2  4  6  8  10
0  0  0  0  0  0
0  2  5  7  9  10
0  2  4  6  8  10
0  0  0  0  0  0
0  2  7  9  10  11
0  2  4  6  8  10
0  0  0  0  0  0
0  3  4  5  7  8
0  2  4  6  8  10
0  0  0  0  0  0
0  3  4  7  8  11
0  1  2  6  7  8
0  0  0  0  0  0
0  3  4  7  8  11
0  1  5  6  7  11
0  0  0  0  0  0
0  3  4  7  8  11
0  2  4  6  8  10
0  0  0  0  0  0
0  3  4  7  8  11
0  4  5  6  10  11
0  0  0  0  0  0
0  3  5  7  8  10
0  2  4  6  8  10
0  0  0  0  0  0
0  3  7  8  10  11
0  2  4  6  8  10
0  0  0  0  0  0
0  4  5  6  10  11
0  1  4  5  8  9
0  0  0  0  0  0
0  4  5  6  10  11
0  3  4  7  8  11
0  0  0  0  0  0
0  4  5  7  8  9
0  2  4  6  8  10
0  0  0  0  0  0
0  4  7  8  9  11
0  2  4  6  8  10
0  0  0  0  0  0
0  5  7  8  9  10
0  2  4  6  8  10
0  0  0  0  0  0
0  7  8  9  10  11
0  2  4  6  8  10
0  0  0  0  0  0
