0	1	2	3	4
0	2	4	6	8
0	0	0	0	0
0	2	3	4	6
0	2	4	6	8
0	0	0	0	0
0	1	3	4	7
0	2	4	6	8
0	0	0	0	0
0	3	4	6	7
0	2	4	6	8
0	0	0	0	0
0	1	2	4	8
0	2	4	6	8
0	0	0	0	0
0	2	4	6	8
0	1	2	3	4
0	0	0	0	0
0	2	4	6	8
0	2	3	4	6
0	0	0	0	0
0	2	4	6	8
0	1	3	4	7
0	0	0	0	0
0	2	4	6	8
0	3	4	6	7
0	0	0	0	0
0	2	4	6	8
0	1	2	4	8
0	0	0	0	0
0	2	4	6	8
0	2	4	6	8
0	0	0	0	0
0	2	4	6	8
0	1	4	7	8
0	0	0	0	0
0	2	4	6	8
0	4	6	7	8
0	0	0	0	0
0	2	4	6	8
0	1	2	3	9
0	0	0	0	0
0	2	4	6	8
0	2	3	6	9
0	0	0	0	0
0	2	4	6	8
0	1	3	7	9
0	0	0	0	0
0	2	4	6	8
0	3	6	7	9
0	0	0	0	0
0	2	4	6	8
0	1	2	8	9
0	0	0	0	0
0	2	4	6	8
0	2	6	8	9
0	0	0	0	0
0	2	4	6	8
0	1	7	8	9
0	0	0	0	0
0	2	4	6	8
0	6	7	8	9
0	0	0	0	0
0	1	4	7	8
0	2	4	6	8
0	0	0	0	0
0	4	6	7	8
0	2	4	6	8
0	0	0	0	0
0	1	2	3	9
0	2	4	6	8
0	0	0	0	0
0	2	3	6	9
0	2	4	6	8
0	0	0	0	0
0	1	3	7	9
0	2	4	6	8
0	0	0	0	0
0	3	6	7	9
0	2	4	6	8
0	0	0	0	0
0	1	2	8	9
0	2	4	6	8
0	0	0	0	0
0	2	6	8	9
0	2	4	6	8
0	0	0	0	0
0	1	7	8	9
0	2	4	6	8
0	0	0	0	0
0	6	7	8	9
0	2	4	6	8
0	0	0	0	0
