     0     1     2
     0     4     8
     0     0     0
     0     2     4
     0     2     4
     0     0     0
     0     2     4
     0     4     8
     0     0     0
     0     2     4
     0     2    10
     0     0     0
     0     2     4
     0     8    10
     0     0     0
     0     1     5
     0     4     8
     0     0     0
     0     4     5
     0     4     8
     0     0     0
     0     2     7
     0     4     8
     0     0     0
     0     5     7
     0     4     8
     0     0     0
     0     1     8
     0     4     8
     0     0     0
     0     4     8
     0     1     2
     0     0     0
     0     4     8
     0     2     4
     0     0     0
     0     4     8
     0     1     5
     0     0     0
     0     4     8
     0     4     5
     0     0     0
     0     4     8
     0     2     7
     0     0     0
     0     4     8
     0     5     7
     0     0     0
     0     4     8
     0     1     8
     0     0     0
     0     4     8
     0     4     8
     0     0     0
     0     4     8
     0     7     8
     0     0     0
     0     4     8
     0     2    10
     0     0     0
     0     4     8
     0     5    10
     0     0     0
     0     4     8
     0     8    10
     0     0     0
     0     4     8
     0     1    11
     0     0     0
     0     4     8
     0     4    11
     0     0     0
     0     4     8
     0     7    11
     0     0     0
     0     4     8
     0    10    11
     0     0     0
     0     7     8
     0     4     8
     0     0     0
     0     2    10
     0     2     4
     0     0     0
     0     2    10
     0     4     8
     0     0     0
     0     2    10
     0     2    10
     0     0     0
     0     2    10
     0     8    10
     0     0     0
     0     5    10
     0     4     8
     0     0     0
     0     8    10
     0     2     4
     0     0     0
     0     8    10
     0     4     8
     0     0     0
     0     8    10
     0     2    10
     0     0     0
     0     8    10
     0     8    10
     0     0     0
     0     1    11
     0     4     8
     0     0     0
     0     4    11
     0     4     8
     0     0     0
     0     7    11
     0     4     8
     0     0     0
     0    10    11
     0     4     8
     0     0     0
