    0     1     2     3
     0     3     6     9
     0     0     0     0
     0     2     3     5
     0     3     6     9
     0     0     0     0
     0     1     3     6
     0     3     6     9
     0     0     0     0
     0     3     5     6
     0     3     6     9
     0     0     0     0
     0     1     2     7
     0     3     6     9
     0     0     0     0
     0     2     5     7
     0     3     6     9
     0     0     0     0
     0     1     6     7
     0     1     6     7
     0     0     0     0
     0     1     6     7
     0     3     6     9
     0     0     0     0
     0     1     6     7
     0     5     6    11
     0     0     0     0
     0     5     6     7
     0     3     6     9
     0     0     0     0
     0     2     3     9
     0     3     6     9
     0     0     0     0
     0     3     6     9
     0     1     2     3
     0     0     0     0
     0     3     6     9
     0     2     3     5
     0     0     0     0
     0     3     6     9
     0     1     3     6
     0     0     0     0
     0     3     6     9
     0     3     5     6
     0     0     0     0
     0     3     6     9
     0     1     2     7
     0     0     0     0
     0     3     6     9
     0     2     5     7
     0     0     0     0
     0     3     6     9
     0     1     6     7
     0     0     0     0
     0     3     6     9
     0     5     6     7
     0     0     0     0
     0     3     6     9
     0     2     3     9
     0     0     0     0
     0     3     6     9
     0     3     6     9
     0     0     0     0
     0     3     6     9
     0     2     7     9
     0     0     0     0
     0     3     6     9
     0     6     7     9
     0     0     0     0
     0     3     6     9
     0     1     3    10
     0     0     0     0
     0     3     6     9
     0     3     5    10
     0     0     0     0
     0     3     6     9
     0     1     7    10
     0     0     0     0
     0     3     6     9
     0     5     7    10
     0     0     0     0
     0     3     6     9
     0     3     9    10
     0     0     0     0
     0     3     6     9
     0     7     9    10
     0     0     0     0
     0     3     6     9
     0     1     2    11
     0     0     0     0
     0     3     6     9
     0     2     5    11
     0     0     0     0
     0     3     6     9
     0     1     6    11
     0     0     0     0
     0     3     6     9
     0     5     6    11
     0     0     0     0
     0     3     6     9
     0     2     9    11
     0     0     0     0
     0     3     6     9
     0     6     9    11
     0     0     0     0
     0     3     6     9
     0     1    10    11
     0     0     0     0
     0     3     6     9
     0     5    10    11
     0     0     0     0
     0     3     6     9
     0     9    10    11
     0     0     0     0
     0     2     7     9
     0     3     6     9
     0     0     0     0
     0     6     7     9
     0     3     6     9
     0     0     0     0
     0     1     3    10
     0     3     6     9
     0     0     0     0
     0     3     5    10
     0     3     6     9
     0     0     0     0
     0     1     7    10
     0     3     6     9
     0     0     0     0
     0     5     7    10
     0     3     6     9
     0     0     0     0
     0     3     9    10
     0     3     6     9
     0     0     0     0
     0     7     9    10
     0     3     6     9
     0     0     0     0
     0     1     2    11
     0     3     6     9
     0     0     0     0
     0     2     5    11
     0     3     6     9
     0     0     0     0
     0     1     6    11
     0     3     6     9
     0     0     0     0
     0     5     6    11
     0     1     6     7
     0     0     0     0
     0     5     6    11
     0     3     6     9
     0     0     0     0
     0     5     6    11
     0     5     6    11
     0     0     0     0
     0     2     9    11
     0     3     6     9
     0     0     0     0
     0     6     9    11
     0     3     6     9
     0     0     0     0
     0     1    10    11
     0     3     6     9
     0     0     0     0
     0     5    10    11
     0     3     6     9
     0     0     0     0
     0     9    10    11
     0     3     6     9
     0     0     0     0
