 0     1     2
     0     5    10
     0     0     0
     0     2     4
     0     5    10
     0     0     0
     0     1     5
     0     5    10
     0     0     0
     0     4     5
     0     5    10
     0     0     0
     0     2     7
     0     5    10
     0     0     0
     0     5     7
     0     5    10
     0     0     0
     0     1     8
     0     5    10
     0     0     0
     0     4     8
     0     5    10
     0     0     0
     0     7     8
     0     5    10
     0     0     0
     0     2    10
     0     5    10
     0     0     0
     0     5    10
     0     1     2
     0     0     0
     0     5    10
     0     2     4
     0     0     0
     0     5    10
     0     1     5
     0     0     0
     0     5    10
     0     4     5
     0     0     0
     0     5    10
     0     2     7
     0     0     0
     0     5    10
     0     5     7
     0     0     0
     0     5    10
     0     1     8
     0     0     0
     0     5    10
     0     4     8
     0     0     0
     0     5    10
     0     7     8
     0     0     0
     0     5    10
     0     2    10
     0     0     0
     0     5    10
     0     5    10
     0     0     0
     0     5    10
     0     8    10
     0     0     0
     0     5    10
     0     1    11
     0     0     0
     0     5    10
     0     4    11
     0     0     0
     0     5    10
     0     7    11
     0     0     0
     0     5    10
     0    10    11
     0     0     0
     0     5    10
     0     2    13
     0     0     0
     0     5    10
     0     5    13
     0     0     0
     0     5    10
     0     8    13
     0     0     0
     0     5    10
     0    11    13
     0     0     0
     0     5    10
     0     1    14
     0     0     0
     0     5    10
     0     4    14
     0     0     0
     0     5    10
     0     7    14
     0     0     0
     0     5    10
     0    10    14
     0     0     0
     0     5    10
     0    13    14
     0     0     0
     0     8    10
     0     5    10
     0     0     0
     0     1    11
     0     5    10
     0     0     0
     0     4    11
     0     5    10
     0     0     0
     0     7    11
     0     5    10
     0     0     0
     0    10    11
     0     5    10
     0     0     0
     0     2    13
     0     5    10
     0     0     0
     0     5    13
     0     5    10
     0     0     0
     0     8    13
     0     5    10
     0     0     0
     0    11    13
     0     5    10
     0     0     0
     0     1    14
     0     5    10
     0     0     0
     0     4    14
     0     5    10
     0     0     0
     0     7    14
     0     5    10
     0     0     0
     0    10    14
     0     5    10
     0     0     0
     0    13    14
     0     5    10
     0     0     0
