     0     1     2     3 
     0     4     8    12 
     0     0     0     0
     0     2     3     5 
     0     4     8    12 
     0     0     0     0
     0     1     4     5 
     0     2     8    10 
     0     0     0     0
     0     1     4     5 
     0     6     8    14 
     0     0     0     0
     0     1     3     6 
     0     4     8    12 
     0     0     0     0
     0     2     4     6 
     0     2     4     6 
     0     0     0     0
     0     2     4     6 
     0     4     6    10 
     0     0     0     0
     0     2     4     6 
     0     2     6    12 
     0     0     0     0
     0     2     4     6 
     0     6    10    12 
     0     0     0     0
     0     2     4     6 
     0     2     4    14 
     0     0     0     0
     0     2     4     6 
     0     4    10    14 
     0     0     0     0
     0     2     4     6 
     0     2    12    14 
     0     0     0     0
     0     2     4     6 
     0    10    12    14 
     0     0     0     0
     0     3     5     6 
     0     4     8    12 
     0     0     0     0
     0     1     2     7 
     0     4     8    12 
     0     0     0     0
     0     3     4     7 
     0     2     8    10 
     0     0     0     0
     0     3     4     7 
     0     6     8    14 
     0     0     0     0
     0     2     5     7 
     0     4     8    12 
     0     0     0     0
     0     1     6     7 
     0     4     8    12 
     0     0     0     0
     0     5     6     7 
     0     4     8    12 
     0     0     0     0
     0     2     3     9 
     0     4     8    12 
     0     0     0     0
     0     4     5     9 
     0     2     8    10 
     0     0     0     0
     0     4     5     9 
     0     6     8    14 
     0     0     0     0
     0     3     6     9 
     0     4     8    12 
     0     0     0     0
     0     2     7     9 
     0     4     8    12 
     0     0     0     0
     0     6     7     9 
     0     4     8    12 
     0     0     0     0
     0     1     8     9 
     0     1     8     9 
     0     0     0     0
     0     1     8     9 
     0     3     8    11 
     0     0     0     0
     0     1     8     9 
     0     5     8    13 
     0     0     0     0
     0     1     8     9 
     0     7     8    15 
     0     0     0     0
     0     1     3    10 
     0     4     8    12 
     0     0     0     0
     0     3     5    10 
     0     4     8    12 
     0     0     0     0
     0     4     6    10 
     0     2     4     6 
     0     0     0     0
     0     4     6    10 
     0     4     6    10 
     0     0     0     0
     0     4     6    10 
     0     2     6    12 
     0     0     0     0
     0     4     6    10 
     0     6    10    12 
     0     0     0     0
     0     4     6    10 
     0     2     4    14 
     0     0     0     0
     0     4     6    10 
     0     4    10    14 
     0     0     0     0
     0     4     6    10 
     0     2    12    14 
     0     0     0     0
     0     4     6    10 
     0    10    12    14 
     0     0     0     0
     0     1     7    10 
     0     4     8    12 
     0     0     0     0
     0     5     7    10 
     0     4     8    12 
     0     0     0     0
     0     2     8    10 
     0     1     4     5 
     0     0     0     0
     0     2     8    10 
     0     3     4     7 
     0     0     0     0
     0     2     8    10 
     0     4     5     9 
     0     0     0     0
     0     2     8    10 
     0     4     7    11 
     0     0     0     0
     0     2     8    10 
     0     1     5    12 
     0     0     0     0
     0     2     8    10 
     0     3     7    12 
     0     0     0     0
     0     2     8    10 
     0     5     9    12 
     0     0     0     0
     0     2     8    10 
     0     7    11    12 
     0     0     0     0
     0     2     8    10 
     0     1     4    13 
     0     0     0     0
     0     2     8    10 
     0     4     9    13 
     0     0     0     0
     0     2     8    10 
     0     1    12    13 
     0     0     0     0
     0     2     8    10 
     0     9    12    13 
     0     0     0     0
     0     2     8    10 
     0     3     4    15 
     0     0     0     0
     0     2     8    10 
     0     4    11    15 
     0     0     0     0
     0     2     8    10 
     0     3    12    15 
     0     0     0     0
     0     2     8    10 
     0    11    12    15 
     0     0     0     0
     0     3     9    10 
     0     4     8    12 
     0     0     0     0
     0     7     9    10 
     0     4     8    12 
     0     0     0     0
     0     1     2    11 
     0     4     8    12 
     0     0     0     0
     0     2     5    11 
     0     4     8    12 
     0     0     0     0
     0     1     6    11 
     0     4     8    12 
     0     0     0     0
     0     5     6    11 
     0     4     8    12 
     0     0     0     0
     0     4     7    11 
     0     2     8    10 
     0     0     0     0
     0     4     7    11 
     0     6     8    14 
     0     0     0     0
     0     3     8    11 
     0     1     8     9 
     0     0     0     0
     0     3     8    11 
     0     3     8    11 
