     0     1     2     3     4     5     6
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     3     4     5     6     8
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     3     4     5     6     9
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     3     4     5     6     8     9
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     4     5     6    10
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     4     5     6     8    10
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     4     5     6     9    10
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     4     5     6     8     9    10
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     3     5     6    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     3     5     6     8    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     3     5     6     9    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     3     5     6     8     9    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     5     6    10    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     5     6     8    10    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     5     6     9    10    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     5     6     8     9    10    11
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     3     4     6    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     3     4     6     8    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     3     4     6     9    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     3     4     6     8     9    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     4     6    10    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     4     6     8    10    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     4     6     9    10    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     4     6     8     9    10    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     3     6    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     3     6     8    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     3     6     9    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     3     6     8     9    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     6    10    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     6     8    10    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     6     9    10    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     6     8     9    10    11    12
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     3     4     5    13
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     2     3     4     5     8    13
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     3     4     5     9    13
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     3     4     5     8     9    13
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
     0     1     2     4     5    10    13
     0     3     6     9    12    15    18
     0     0     0     0     0     0     0
