     0     1     2     3
     0     6    12    18
     0     0     0     0
     0     2     3     5
     0     6    12    18
     0     0     0     0
     0     1     4     5
     0     3    12    15
     0     0     0     0
     0     1     4     5
     0     9    12    21
     0     0     0     0
     0     1     3     6
     0     6    12    18
     0     0     0     0
     0     2     4     6
     0     3     6     9
     0     0     0     0
     0     2     4     6
     0     6     9    15
     0     0     0     0
     0     2     4     6
     0     3     9    18
     0     0     0     0
     0     2     4     6
     0     9    15    18
     0     0     0     0
     0     2     4     6
     0     3     6    21
     0     0     0     0
     0     2     4     6
     0     6    15    21
     0     0     0     0
     0     2     4     6
     0     3    18    21
     0     0     0     0
     0     2     4     6
     0    15    18    21
     0     0     0     0
     0     3     5     6
     0     6    12    18
     0     0     0     0
     0     1     2     7
     0     6    12    18
     0     0     0     0
     0     3     4     7
     0     3    12    15
     0     0     0     0
     0     3     4     7
     0     9    12    21
     0     0     0     0
     0     2     5     7
     0     6    12    18
     0     0     0     0
     0     1     6     7
     0     2    12    14
     0     0     0     0
     0     1     6     7
     0     6    12    18
     0     0     0     0
     0     1     6     7
     0    10    12    22
     0     0     0     0
     0     5     6     7
     0     6    12    18
     0     0     0     0
     0     2     3     9
     0     6    12    18
     0     0     0     0
     0     4     5     9
     0     3    12    15
     0     0     0     0
     0     4     5     9
     0     9    12    21
     0     0     0     0
     0     3     6     9
     0     2     4     6
     0     0     0     0
     0     3     6     9
     0     4     6    10
     0     0     0     0
     0     3     6     9
     0     2     6    12
     0     0     0     0
     0     3     6     9
     0     6    10    12
     0     0     0     0
     0     3     6     9
     0     2     4    14
     0     0     0     0
     0     3     6     9
     0     4    10    14
     0     0     0     0
     0     3     6     9
     0     2    12    14
     0     0     0     0
     0     3     6     9
     0    10    12    14
     0     0     0     0
     0     3     6     9
     0     4     6    18
     0     0     0     0
     0     3     6     9
     0     6    12    18
     0     0     0     0
     0     3     6     9
     0     4    14    18
     0     0     0     0
     0     3     6     9
     0    12    14    18
     0     0     0     0
     0     3     6     9
     0     2     6    20
     0     0     0     0
     0     3     6     9
     0     6    10    20
     0     0     0     0
     0     3     6     9
     0     2    14    20
     0     0     0     0
     0     3     6     9
     0    10    14    20
     0     0     0     0
     0     3     6     9
     0     6    18    20
     0     0     0     0
     0     3     6     9
     0    14    18    20
     0     0     0     0
     0     3     6     9
     0     2     4    22
     0     0     0     0
     0     3     6     9
     0     4    10    22
     0     0     0     0
     0     3     6     9
     0     2    12    22
     0     0     0     0
     0     3     6     9
     0    10    12    22
     0     0     0     0
     0     3     6     9
     0     4    18    22
     0     0     0     0
     0     3     6     9
     0    12    18    22
     0     0     0     0
     0     3     6     9
     0     2    20    22
     0     0     0     0
     0     3     6     9
     0    10    20    22
     0     0     0     0
     0     3     6     9
     0    18    20    22
     0     0     0     0
     0     2     7     9
     0     6    12    18
     0     0     0     0
     0     6     7     9
     0     6    12    18
     0     0     0     0
     0     1     3    10
     0     6    12    18
     0     0     0     0
     0     3     5    10
     0     6    12    18
     0     0     0     0
     0     4     6    10
     0     3     6     9
     0     0     0     0
     0     4     6    10
     0     6     9    15
     0     0     0     0
     0     4     6    10
     0     3     9    18
     0     0     0     0
     0     4     6    10
     0     9    15    18
     0     0     0     0
     0     4     6    10
     0     3     6    21
     0     0     0     0
     0     4     6    10
     0     6    15    21
     0     0     0     0
     0     4     6    10
     0     3    18    21
     0     0     0     0
     0     4     6    10
     0    15    18    21
     0     0     0     0
     0     1     7    10
     0     6    12    18
     0     0     0     0
